cleaned_text
['tasyakuran']
"['muzakir', 'manaf', 'meresmikan', 'mualem', 'bernaung', 'pemenangannya', 'peresmian', 'digelar', 'syukuran']"
['syukuran']
"['kesengsaraan', 'warisan', 'ditinggal', 'jokowi']"
"['mempercayai', 'keadilan']"
['menghantarkan']
"['gaduh', 'kekacaun', 'bohongi', 'jokowidan', 'ikhlas', 'kebusukan', 'jokowi']"
"['ide', 'gagasan', 'manfaatkan', 'dana']"
['selamat']
"['keberpihakan', 'unggulannya', 'mimi', 'dibanding', 'pengadaan', 'internet', 'disebabkan', 'cerdas', 'inet', 'angan2', 'blom', 'bagus', 'inetnya']"
['terima']
['terima']
['inkonstitusional']
"['pajak', 'kenaikan', 'pajak', 'kenaikan', 'ppn', 'dpr']"
['syukuran']
"['merenung', 'fair']"
"['raffi', 'ahmad', 'perayaan', 'dimanipulasi', 'raffi', 'ahmad']"
['pesta']
"['loyalitas', 'dedikasi']"
['selamat']
['rela']
['selamat']
['selamat']
['bergairah']
['syukuran']
['meningkat']
['tingkatkan']
"['jabatan', 'diamanahkan', 'kepentingan']"
"['jabatan', 'diamanahkan', 'kepentingan']"
"['jabatan', 'diamanahkan', 'kepentingan']"
"['jabatan', 'diamanahkan', 'kepentingan']"
"['selamat', 'berharap', 'maju', 'makmur']"
"['muzani', 'memanfaatkan', 'buruk', 'kepentingan']"
"['rapimnas', 'syukuran', 'rumi', 'mengawal', 'kebijakan']"
"['rapimnas', 'tasyakuran', 'rumi', 'mengawal', 'kebijakan']"
"['rumi', 'rapimnas', 'tasyakuran']"
"['dugaan', 'joko', 'widodo', 'jokowi']"
"['terima', 'kekalahan', 'dukung', 'menerima', 'sakit', 'kecewamu', 'dukung', 'nyungsep']"
"['anies', 'ganjar', 'ngalah', 'anulir', 'melawan', 'trik']"
['kawal']
['kawal']
['kawal']
['kawan']
['kawal']
['kawal']
['kawal']
['kawal']
['kawal']
"['etika', 'etika', 'menggagalkan', 'buntu', 'tertarik', 'shame', 'on', 'you']"
['kawal']
['kawal']
['kawal']
['kawal']
"['dpd', 'gerindra', 'konsolidasi', 'syukuran']"
['menyambut']
"['disambut', 'hangat']"
"['disambut', 'kegembiraan']"
['kegembiraan']
['positif']
['dukungan']
['positif']
"['sambutan', 'meriah']"
"['disambut', 'hangat']"
['bersukacita']
"['mengingkari', 'melaknat', 'mengabulkan', 'terbaik', 'setuju']"
"['kebahagiaan', 'keberkahan', 'dampaknya', 'harga', 'pokok', 'mahal', 'pajak', 'rezim', 'jokowi', 'keberlanjutan']"
['selamat']
"['shani', 'maranello', 'sepakat', 'mendukung']"
"['dpd', 'gerindra']"
"['megawati', 'sby', 'wafat']"
['sukses']
['syukuri']
['alhamdulillah']
['rayakan']
